"id","nombre_urg","num","claves_presupuestales","objeto_contratacion_proyectado","tipo_de_contratacion","partida_presupuestal_especifica","clave_cabms","valor_estimado_contratacion","contratacion_a_mipymes","procedimiento_contratacion_proyectado","fecha_estimada_procedimiento_contratacion","fecha_estimada_inicio_vigencia_contrato","fecha_estimada_fin_contrato","etiqueta_procedimiento"
115836,"INSTITUTO DE LAS PERSONAS CON DISCAPACIDAD","CDMX08PDIIPAAAPS59","108PDII124003P00115O22033911100","SERVICIOS PROFESIONALES DEL PERSONAL ADMINISTRATIVO DE ESTE INSTITUTO","SERVICIO",3391,"3391000004--SERVICIOS PROFESIONALES, CIENTIFICOS Y TÉCNICOS INTEGRALES","$143,301.84","NO","ADJUDICACIÓN DIRECTA POR EXCEPCIÓN (ARTÍCULO 54).","30-12-2021","01-01-2022","31-12-2022","PROYECTO"
115851,"INSTITUTO DE LAS PERSONAS CON DISCAPACIDAD","CDMX08PDIIPAAAPS63","108PDII268294P00415O22033911100","SERVICIO PROFESIONAL PARA ACTIVIDADES ADMINISTRATIVAS DENTRO DEL INSTITUTO","SERVICIO",3391,"3391000004--SERVICIOS PROFESIONALES, CIENTIFICOS Y TÉCNICOS INTEGRALES","$4,377.36","NO","ADJUDICACIÓN DIRECTA POR EXCEPCIÓN (ARTÍCULO 54).","30-12-2021","01-01-2022","31-12-2022","PROYECTO"
115921,"INSTITUTO DE LAS PERSONAS CON DISCAPACIDAD","CDMX08PDIIPAAAPS68","108PDII172002N00115O22033911100","SERVICIO PROFESIONAL PARA ACTIVIDADES ADMINISTRATIVAS DENTRO DEL INSTITUTO","SERVICIO",3391,"3391000004--SERVICIOS PROFESIONALES, CIENTIFICOS Y TÉCNICOS INTEGRALES","$150,000.00","NO","ADJUDICACIÓN DIRECTA POR EXCEPCIÓN (ARTÍCULO 54).","28-01-2022","01-02-2022","30-04-2022","PROYECTO"
112897,"SERVICIO DE TRANSPORTES ELÉCTRICOS","CDMX10PDTEPAAAPS73","110PDTE356052E04214122035711100","INSTALACIÓN, REPARACIÓN Y MANTENIMIENTO DE MAQUINARIA, OTROS EQUIPOS Y HERRAMIENTAS PARA CONTAR CON EL EQUIPO SEGURO Y EFICIENTE EN LAS ÁREAS DEL STE","SERVICIO",3571,"3571000002--INSTALACIÓN DE MAQUINARIA, OTROS EQUIPOS Y HERRAMIENTAS","$5,471,339.60","NO","LICITACIÓN PÚBLICA NACIONAL (ART.30)","31-12-2021","03-01-2022","31-12-2022","PROYECTO"
114235,"ALCALDÍA GUSTAVO A. MADERO","CDMX02CD07PAAAPS177","102CD07268244U02615O22044511178PAAAPS191","AYUDAS SOCIALES  A INSTITUCIONES SIN FINES DE LUCRO","BIEN",4451,"4451000002--AYUDAS Y DONATIVOS A INSTITUCIONES SIN FINES DE LUCRO","$3,000,000.00","NO","ADJUDICACIÓN DIRECTA POR EXCEPCIÓN (ARTÍCULO 54).","01-04-2022","01-04-2022","31-12-2022","PROYECTO"
116232,"CONSEJO PARA PREVENIR Y ELIMINAR LA DISCRIMINACIÓN","CDMX08PDCPPAAAPS9","108PDCP124062E04615O22033611279","SERVICIO DE FOTOCOPIADO BLANCO Y NEGRO Y COLOR PARA EL PERIODO DE  2022","SERVICIO",3361,"3361000016--SERVICIO DE FOTOCOPIADO","$80,000.00","NO","LICITACIÓN PÚBLICA NACIONAL (ART.30)","01-12-2021","01-01-2022","31-12-2022","PROYECTO CONSOLIDADO PAAAPS"
115567,"METROBÚS","CDMX10PDMBPAAAPS30","110PDMB124003P00114122033511100OPERATIVO","SERVICIO DE ENCUESTAS DE GÉNERO A USUARIOS, PARA EVALUAR LA SEGURIDAD Y EFICIENCIA DEL SERVICIO QUE BRINDA METROBÚS","SERVICIO",3351,"3351000002--ESTUDIOS E INVESTIGACIONES","$512,720.00","NO","LICITACIÓN PÚBLICA NACIONAL (ART.30)","02-02-2022","03-03-2022","31-12-2022","PROYECTO"
115568,"ALCALDÍA CUAJIMALPA DE MORELOS","CDMX02CD05PAAAPS63","102CD05263001O00115O22035711100","MANTENIMIENTO MAQUINARIA PESADA PERTENECIENTE AL PAARQUE VEHICULAR","SERVICIO",3571,"3571000004--MANTENIMIENTO DE MAQUINARIA, OTROS EQUIPOS Y HERRAMIENTAS","$2,000,000.00","SI","INVITACIÓN RESTRINGIDA A CUANDO MENOS TRES PROVEEDORES POR MONTO. (ARTÍCULO 55).","01-10-2022","01-10-2022","31-12-2022","PROYECTO"
114236,"ALCALDÍA TLÁHUAC","CDMX02CD13PAAAPS139","102CD13221274K01625P12024612100","MATERIAL ELECTRICO, UTILIZADO PARA LOS PROGRAMAS DE ALUMBRADO PUBLICO, INSTALACIONES ELECTRICAS ETC. (FOCOS )","BIEN",2461,"2461000008--ALAMBRES Y CABLES CONDUCTORES","$2,800,000.00","SI","INVITACIÓN RESTRINGIDA A CUANDO MENOS TRES PROVEEDORES POR MONTO. (ARTÍCULO 55).","15-02-2022","15-02-2022","31-12-2022","PROYECTO"
117692,"INSTITUTO PARA LA SEGURIDAD DE LAS CONSTRUCCIONES","CDMX07PDISPAAAPS21","107PDIS181145E06711112021411200","ADQUISICIÓN DE  TÓNER Y CARTUCHOS PARA IMPRESORAS CORRESPONDIENTE AL EJERCICIO FISCAL 2022","SERVICIO",2141,"2141000050--TONER","$381,911.00","NO","LICITACIÓN PÚBLICA NACIONAL (ART.30)","01-07-2022","01-08-2022","31-12-2022","PROYECTO CONSOLIDADO PAAAPS"
114064,"SECRETARÍA DE OBRAS Y SERVICIOS","CDMX07C001PAAAPS4","107C001221049K00615O12056712100A22NR0113","COMPRA DE FLEJADORA, CORTADORA DE METAL, COMPRESOR DE AIRE Y MOTOSIERRA","BIEN",5671,"5671000136--FLEJADORA (MANUAL)","$200,000.00","NO","ADJUDICACIÓN DIRECTA POR MONTO  (ARTÍCULO 55).","01-07-2022","01-07-2022","31-12-2022","PROYECTO"
113460,"SERVICIO DE TRANSPORTES ELÉCTRICOS","CDMX10PDTEPAAAPS75","110PDTE356052E04214122035811100","SERVICIO DE LAVANDERÍA DE COBERTORES Y BLANCOS PARA DORMITORIOS CON LA FINALIDAD DE MANTENER LIMPIAS Y EN BUENAS CONDICIONES LAS INSTALACIONES PARA EL PERSONAL DEL STE","SERVICIO",3581,"3581000002--LAVADO Y PLANCHADO","$350,000.00","NO","ADJUDICACIÓN DIRECTA POR MONTO  (ARTÍCULO 55).","02-05-2022","16-05-2022","31-12-2022","PROYECTO"
114243,"SECRETARÍA DE CULTURA","CDMX31C000PAAAPS3","131C000242104M00111112021111200000000000","ADQUISICIÓN DE PAPEL BOND 2022","BIEN",2111,"2111000488--PAPEL BOND;2111000488--PAPEL BOND","$250,000.00","NO","LICITACIÓN PÚBLICA NACIONAL (ART.30)","01-12-2021","01-03-2022","31-12-2022","PROYECTO CONSOLIDADO PAAAPS"
114238,"SECRETARÍA DE MOVILIDAD","CDMX10C001PAAAPS55","110C001356001O00111112034511200000000000; 110C001356264P04411112034511200000000000; 110C001356265E11211112034511200000000000; 110C001356266G01811112034511200000000000; 110C001356267F02411112034511200000000000; 110C001356268G01911112034511200000000000; 110C001356270P04511112034511200000000000","CONTRATACIÓN CONSOLIDADA DE SEGUROS 2022","SERVICIO","1441;1442;3451;4412","1441000002--CUOTAS PARA EL SEGURO DE VIDA DEL PERSONAL CIVIL;1442000002--CUOTAS PARA EL SEGURO DE VIDA DEL PERSONAL DE SEGURIDAD PÚBLICA;3451000002--SEGURO DE BIENES PATRIMONIALES;4412000002--AYUDAS CULTURALES Y SOCIALES","$4,180,677.00","NO","ADJUDICACIÓN DIRECTA POR EXCEPCIÓN (ARTÍCULO 54).","01-12-2021","01-01-2022","31-12-2022","PROYECTO CONSOLIDADO PAAAPS"
114240,"INSTITUTO DE VERIFICACIÓN ADMINISTRATIVA","CDMX13PDVAPAAAPS30","113PDVA181096G01115O22021411200000000000","ADQUISICIÓN DE  TÓNER Y CARTUCHOS PARA IMPRESORAS CORRESPONDIENTE AL EJERCICIO FISCAL 2022","SERVICIO",2141,"2141000050--TONER","$300,000.00","NO","LICITACIÓN PÚBLICA NACIONAL (ART.30)","01-07-2022","01-08-2022","31-12-2022","PROYECTO CONSOLIDADO PAAAPS"
113454,"SERVICIO DE TRANSPORTES ELÉCTRICOS","CDMX10PDTEPAAAPS74","110PDTE356052E04214122035811100","SERVICIO DE LIMPIEZA INTEGRAL A EDIFICIOS, OFICINAS, INSTALACIONES Y TALLERES DEL SERVICIO DE TRANSPORTES ELÉCTRICOS DE LA CIUDAD DE MÉXICO (STE), INCLUYENDO TERMINALES DE CORREDORES CERO EMISIONES Y MATERIAL RODANTE (TRENES LIGEROS Y TROLEBÚS)","SERVICIO",3581,"3581000008--SERVICIO DE LIMPIEZA DE OFICINAS","$15,000,000.00","NO","ADJUDICACIÓN DIRECTA POR EXCEPCIÓN (ARTÍCULO 54).","03-01-2022","01-02-2022","31-12-2022","PROYECTO"
115571,"ALCALDÍA CUAJIMALPA DE MORELOS","CDMX02CD05PAAAPS64","102CD05263001O00115O22035811100","SERVICIOS DE LIMPIEZA Y MANEJO DE DESECHOS","SERVICIO",3581,"3581000002--LAVADO Y PLANCHADO","$7,000,000.00","SI","INVITACIÓN RESTRINGIDA A CUANDO MENOS TRES PROVEEDORES POR MONTO. (ARTÍCULO 55).","01-04-2022","01-04-2022","31-12-2022","PROYECTO"
113490,"SERVICIO DE TRANSPORTES ELÉCTRICOS","CDMX10PDTEPAAAPS76","110PDTE356052E04214122035811100","SERVICIO DE RETIRO DE ESCOMBRO PARA MANTENER LOS DEPÓSITOS LIBRES DE DESECHOS Y RESIDUOS QUE PUEDAN ATENTAR CONTRA LA SEGURIDAD Y SALUD DE LOS TRABAJADORES Y VISITANTES","SERVICIO",3581,"3581000004--SERVICIO DE DESEMBARQUE DE ESCOMBRO","$320,000.00","NO","ADJUDICACIÓN DIRECTA POR MONTO  (ARTÍCULO 55).","01-08-2022","01-09-2022","31-12-2022","PROYECTO"
114246,"ALCALDÍA CUAJIMALPA DE MORELOS","CDMX02CD05PAAAPS36","102CD05263001O00115O22029812100","REFFACCIONES Y ACCESORIOS MENORES PARA MAQUINARIA","BIEN",2981,"2981000126--BUJÍA","$800,000.00","SI","INVITACIÓN RESTRINGIDA A CUANDO MENOS TRES PROVEEDORES POR MONTO. (ARTÍCULO 55).","01-10-2022","01-10-2022","31-12-2022","PROYECTO"
115918,"ALCALDÍA CUAJIMALPA DE MORELOS","CDMX02CD05PAAAPS77","102CD05263001O00115O32051512100","EQUIPO DE COMPUTO Y DE TECNOLOGIAS DE LA INFORMACION","BIEN",5151,"5151000282--AGENDA ELECTRÓNICA PALM","$400,000.00","SI","INVITACIÓN RESTRINGIDA A CUANDO MENOS TRES PROVEEDORES POR EXCEPCIÓN. (ARTÍCULO 54).","01-04-2022","01-04-2022","31-12-2022","PROYECTO"
114247,"ALCALDÍA TLALPAN","CDMX02CD14PAAAPS53","102CD14214081E12215OB2022211100","PRODUCTOS ALIMENTICIOS PARA ANIMALES","BIEN",2221,"2221000006--ALIMENTOS PREPARADOS PARA AVES DE CORRAL;2221000060--ALIMENTO PARA GATO EN LATA;2221000008--ALIMENTOS PREPARADOS PARA CANINOS;2221000058--CROQUETA PARA PERRO;2221000022--CROQUETAS PARA GATO","$58,971.00","SI","ADJUDICACIÓN DIRECTA POR MONTO  (ARTÍCULO 55).","04-04-2022","04-04-2022","04-04-2022","PROYECTO"
114252,"INSTITUTO DE VIVIENDA","CDMX03PDIVPAAAPS62","103PDIV134001O00114122035811100","SERVICIO INTEGRAL DE LAVADO DE CISTERNAS SERVICIO DE SANITIZACION EN EL INMUEBLE SEDE MESA DE TRAMITE Y ARCHIVOS DE CONCENTRACION","SERVICIO",3581,"3581000006--SERVICIO DE LIMPIEZA DE MOBILIARIO Y EQUIPO","$591,000.00","SI","INVITACIÓN RESTRINGIDA A CUANDO MENOS TRES PROVEEDORES POR MONTO. (ARTÍCULO 55).","01-01-2022","01-01-2022","31-12-2022","PROYECTO"
114250,"INSTITUTO DE VERIFICACIÓN ADMINISTRATIVA","CDMX13PDVAPAAAPS32","113PDVA181096G01115O22024611100000000000","COMPRA DE MATERIAL ELÉCTRICO","BIEN",2461,,"$33,919.00","SI","ADJUDICACIÓN DIRECTA POR MONTO  (ARTÍCULO 55).","17-01-2022","01-02-2022","31-12-2022","PROYECTO REVOLVENTE"
116303,"ALCALDÍA TLALPAN","CDMX02CD14PAAAPS98","102CD14223202K01415O62029112100","HERRAMIENTAS MENORES","BIEN",2911,"2911000036--ANILLOS Y RONDANAS DE HULE","$348,822.00","SI","ADJUDICACIÓN DIRECTA POR MONTO  (ARTÍCULO 55).","10-10-2022","10-10-2022","31-12-2022","PROYECTO"
114251,"ALCALDÍA GUSTAVO A. MADERO","CDMX02CD07PAAAPS178","102CD07232001O00111122051112100PAAAPS192","MUEBLES DE OFICINA Y ESTANTERIA","BIEN",5111,"5111000134--GABINETE UNIVERSAL","$1,000,000.00","NO","LICITACIÓN PÚBLICA NACIONAL (ART.30)","01-04-2022","01-05-2022","31-12-2022","PROYECTO"
116304,"SECRETARÍA DE TRABAJO Y FOMENTO AL EMPLEO","CDMX33C001PAAAPS70","133C001393001O00111112027111100","ADQUISICIÓN DE VESTUARIO Y UNIFORMES IDENTIFICATIVO DE LA SECRETARÍA MEDIANTE FONDO REVOLVENTE.","BIEN",2711,"2711000108--CHALECO","$20,000.00","SI","ADJUDICACIÓN DIRECTA POR MONTO  (ARTÍCULO 55).","01-04-2022","15-04-2022","15-04-2022","PROYECTO"
114249,"METROBÚS","CDMX10PDMBPAAAPS12","110PDMB172002N00115O22033621100operativo","SERVICIOS DE ESTAMPADOS DE PROTECCIÓN CIVIL PARA LAS ESTACIONES DE METROBÚS Y OFICINAS ADMINISTRAVAS","SERVICIO",3362,"3362000004--IMPRESIÓN DE LIBRETA PROMOCIONAL DE PROGRAMAS INSTITUCIONALES","$100,000.00","NO","ADJUDICACIÓN DIRECTA POR MONTO  (ARTÍCULO 55).","01-03-2022","02-05-2022","31-12-2022","PROYECTO"
114253,"SECRETARÍA DE SEGURIDAD CIUDADANA","CDMX11C001PAAAPS6","111C001123009E01411112021111100; 111C001123025E05711112021111100; 111C001171104M00111112021111100; 111C001171104M00111122021111100; 111C001253071E06311112021111100; 111C001268294P00411112021111100; 111C001268017E06811112021111133; 111C001123009E01415OC2021111200; 111C001171013E00715OC2021111200; 111C001171104M00115OC2021111200; 111C001171109E02115OC2021111200; 111C001171248E05315OC2021111200; 111C001172002N00115OC2021111200","ADQUISICIÓN DE PAPEL BOND TAMAÑO CARTA Y OFICIO","BIEN",2111,"2111000488--PAPEL BOND","$19,925,571.00","NO","ADJUDICACIÓN DIRECTA POR EXCEPCIÓN (ARTÍCULO 54).","01-02-2022","07-03-2022","31-12-2022","PROYECTO"
116302,"SERVICIOS DE SALUD PÚBLICA","CDMX26PDSPPAAAPS106","126PDSP232064E06625P42039111100","SERVICIOS FUNERARIOS Y DE CEMENTERIO","SERVICIO",3911,"3911000004--SERVICIOS FUNERARIOS Y DE CEMENTERIO","$1,895,000.00","SI","LICITACIÓN PÚBLICA NACIONAL (ART.30)","18-03-2022","30-03-2022","30-12-2022","PROYECTO"
116919,"CONSEJO PARA PREVENIR Y ELIMINAR LA DISCRIMINACIÓN","CDMX08PDCPPAAAPS16","108PDCP124062E04615O22021111100; 108PDCP124004P00215O22021111100; 108PDCP124062P02715O22021111100; 108PDCP134001O00115O22021111100; 108PDCP268294P00415O22021111100; 108PDCP124062E04615O22021511100; 108PDCP172002N00115O22021511100; 108PDCP124062E04615O22021611100; 108PDCP124062E04615O22021711100; 108PDCP124062E04615O22022111100; 108PDCP124062P02715O22022111100; 108PDCP124062E04615O22022311100; 108PDCP124062E04615O22024411100; 108PDCP134001O00115O22024411100; 108PDCP124062E04615O22024611100; 108PDCP124062E04615O22024811100; 108PDCP124062E04615O22024911100; 108PDCP124062E04615O22025411100; 108PDCP124062E04615O22029111100; 108PDCP124062E04615O22029211100; 108PDCP124062E04615O22029311100; 108PDCP124062E04615O22029411100; 108PDCP124062E04615O22029611100; 108PDCP124003P00115O22033621100; 108PDCP124004P00215O22033621100; 108PDCP124062P02715O22033621100; 108PDCP124062P02715O22033631100; 108PDCP124062E04615O22033631100; 108PDCP124004P00215O22033631100; 108PDCP268294P00415O22033631100; 108PDCP124062E04615O22035211100; 108PDCP134001O00115O22035211100; 108PDCP124062E04615O22035311100; 108PDCP124062P02715O22035531100; 108PDCP124062E04615O22037221100","GASTOS MENORES POR FONDO REVOLVENTE","BIEN","2111;2151;2161;2171;2211;2231;2441;2461;2481;2491;2541;2911;2921;2931;2941;2961;3362;3363;3521;3531;3553;3722",,"$426,916.00","NO","ADJUDICACIÓN DIRECTA POR MONTO  (ARTÍCULO 55).","01-01-2022","01-01-2022","31-12-2022","PROYECTO REVOLVENTE"
110630,"INSTANCIA EJECUTORA DEL SISTEMA INTEGRAL DE DERECHOS HUMANOS","CDMX02OD06PAAAPS3","102OD06124093P01711112022111100","ADQUISICIÓN DE BOX LUCH PARA EL PERSONAL DE LA INSTANCIA, ASÍ COMO MANIFESTANTES EN EL ACOMPAÑAMIENTO Y TRABAJO DE CAMPO","BIEN",2211,"2211000480--BOX LUNCH","$60,000.00","NO","ADJUDICACIÓN DIRECTA POR EXCEPCIÓN (ARTÍCULO 54).","01-02-2022","01-03-2022","30-12-2022","PROYECTO"
113608,"ALCALDÍA CUAJIMALPA DE MORELOS","CDMX02CD05PAAAPS26","102CD05263001O00115O22026112200","PARA LA ADQUISICION CONSOLIDADA DE COMBUSTIBLE (GASOLINA DIESEL), A TRAVES DE MEDIO DE CONTROL PARA LOS BIENES MUEBLES PROPIEDAD Y/O A CARGO DEL GOBIERNO DE LA CIUDAD DE MÉXICO CORRESPONDIENTE AL EJERCICIO FISCAL 2022","SERVICIO",2611,"2611000024--GASOLINA","$51,461,168.00","NO","ADJUDICACIÓN DIRECTA POR EXCEPCIÓN (ARTÍCULO 54).","01-06-2022","01-05-2022","31-12-2022","PROYECTO CONSOLIDADO PAAAPS"
115576,"ALCALDÍA XOCHIMILCO","CDMX02CD16PAAAPS133","102CD16232001O00111112036111183","DIFUSIÓN POR RADIO, TELEVISIÓN Y OTROS MEDIOS DE MENSAJES SOBRE PROGRAMAS Y ACTIVIDADES GUBERNAMENTALES.","SERVICIO",3611,"3611000008--GASTOS DE DIFUSIÓN EN TELEVISIÓN","$9,480,000.00","SI","INVITACIÓN RESTRINGIDA A CUANDO MENOS TRES PROVEEDORES POR EXCEPCIÓN. (ARTÍCULO 54).","01-03-2022","01-05-2022","31-12-2022","PROYECTO"
116756,"SECRETARÍA DE SALUD","CDMX26C001PAAAPS115","126C001232020E01215O22039931182","SERVICIO INTEGRAL DE HEMODINAMIA","SERVICIO INTEGRAL",3993,"3993000008--SERVICIO DE CONSULTA EXTERNA Y URGENCIAS MÉDICAS DE MEDICINA FAMILIAR EN CLÍNICAS (EN DISTINTAS UBICACIONES)","$176,256.00","NO","ADJUDICACIÓN DIRECTA POR EXCEPCIÓN (ARTÍCULO 54).","31-03-2022","01-04-2022","31-12-2022","PROYECTO"
115577,"ALCALDÍA CUAJIMALPA DE MORELOS","CDMX02CD05PAAAPS65","102CD05263001O00115O22035911100","SERVICIOS DE JARDINERIA Y FUMIGACION","SERVICIO",3591,"3591000006--SERVICIO DE SANITIZACIÓN PARA INMUEBLES PÚBLICOS","$500,000.00","SI","INVITACIÓN RESTRINGIDA A CUANDO MENOS TRES PROVEEDORES POR MONTO. (ARTÍCULO 55).","01-03-2022","01-03-2022","31-12-2022","PROYECTO"
